IPA_id,area_m2,mean_velD,mean_velA,mean_dwslp_scalarD,mean_dwslp_scalarA,LOS_vel_mean,mean_dwslp_velD,mean_dwslp_velA,dwslp_vel_mean,mean_slope_deg,mean_elevation_m,mean_temp_C,mean_precip_mm,mean_velD_MA,mean_velA_MA,mean_dwslp_scalarD_MA,mean_dwslp_scalarA_MA,LOS_vel_mean_MA,mean_dwslp_velD_MA,mean_dwslp_velA_MA,dwslp_vel_mean_MA,dwslp_velA_MA_fullScalar,dwslp_velD_MA_fullScalar,dwslp_vel_MA_fullScalar,Morphology,Up_connect,aspect_med_cardinal,MA_area_m2,MA_mean_slope_deg,MA_aspect_med_cardinal,MA_mean_elevation_m,MA_mean_temp_C,MA_mean_ppt_mm,geometry,lon,lat
RGS384056N1092710W,105604.535,0.006452574,0.00318836,8.052191373,1.447812837,0.006452574,0.051957362,0.004616148,0.051957362,29.25172414,3079.315302,3.408788656,851.8365118,0.009881217,0.003964162,8.337443466,1.391214797,0.009881217,0.083315914,0.005536668,0.083315914,0.005739365,0.079565451,0.079565451,Tongue,TC,NW,54238.004,29.84706299,NW,3063.354935,3.460988968,849.5012728,"c(-109.27107605298, 38.405601306718)",-109.2710761,38.40560131
RGS384070N1092542W,166356.035,0.003299066,0.008465352,1.700881821,6.508498733,0.008465352,0.005611322,0.055096735,0.055096735,21.33945225,3156.081926,2.652105725,879.7575821,0.011991024,0.008973537,1.368272901,6.589524269,0.011991024,0.016406993,0.059131339,0.059131339,0.058404253,0.020395315,0.058404253,Tongue,TC,NE,24588.812,20.35172653,NE,3180.051758,2.029830569,886.9776794,"c(-109.254218214283, 38.4070163992426)",-109.2542182,38.4070164
RGS384428N1092324W,136583.237,0.004161869,0.003843185,3.451049473,4.178844949,0.004161869,0.014362816,0.016060073,0.016060073,26.95299231,3539.476223,-0.020000001,1167.585083,0.007621255,0.004860687,6.196429166,1.412306005,0.007621255,0.047224565,0.006864778,0.047224565,0.020312058,0.026301327,0.026301327,Lobate,TC,NW,33052.715,27.83036943,N,3527.368253,-0.020000001,1167.585083,"c(-109.232463834021, 38.4428528703463)",-109.2324638,38.44285287
RGS384484N1092201W,228791.649,0.002128976,0.005116259,2.539067833,5.724203264,0.005116259,0.005405615,0.029286505,0.029286505,18.94260088,3240.944984,2.446345089,1074.083312,0.003821747,0.012101432,2.347451382,7.947250616,0.012101432,0.008971365,0.096173113,0.096173113,0.069271057,0.009703675,0.069271057,Lobate,TC,NE,43439.088,16.08137287,NE,3232.647797,2.670000076,1032.520996,"c(-109.220117101246, 38.4484715936004)",-109.2201171,38.44847159
RGS384551N1092601W,117159.265,0.002066655,0.007579305,1.588979344,6.499519494,0.007579305,0.003283871,0.049261839,0.049261839,26.54366541,3126.953822,2.522115144,1066.594915,0.002666063,0.012207322,1.632472785,6.123650297,0.012207322,0.004485694,0.073834058,0.073834058,0.079341728,0.004236319,0.079341728,Lobate,DC,NE,33405.83,24.10934029,N,3118.09882,2.543429294,1059.213727,"c(-109.260175926288, 38.4551363562088)",-109.2601759,38.45513636
RGS384561N1092822W,66092.978,0.005775207,0.002491746,7.120916193,1.419567455,0.005775207,0.041124768,0.003537202,0.041124768,25.36404696,2959.664418,4.570000172,793.0180664,0.008613093,0.003576889,7.868712454,1.396448887,0.008613093,0.067773951,0.004994942,0.067773951,0.005077635,0.061333112,0.061333112,Lobate,DC,NW,23932.166,24.96697443,NW,2960.929924,4.570000172,793.0180664,"c(-109.282226136018, 38.4561078414747)",-109.2822261,38.45610784
RGS384970N1092386W,22568.335,7.41E-04,0.003416151,3.509364687,10.93809351,0.003416151,0.002598901,0.037366177,0.037366177,23.24005127,3238.454203,1.353959632,1053.424921,5.67E-04,0.006052929,3.581947327,10.56194305,0.006052929,0.002030837,0.063930691,0.063930691,0.066207503,0.001989685,0.066207503,Tongue,TC,S,6964.554,25.45177155,S,3256.768359,1.180000067,1056.282104,"c(-109.238691714719, 38.4970107486638)",-109.2386917,38.49701075
RGS385014N1092622W,550429.923,0.00569616,0.001749311,7.704864792,1.451595891,0.00569616,0.043888144,0.002539292,0.043888144,22.21717584,2880.621438,4.55797674,843.32942,0.009842385,0.002052597,9.031877637,1.360000738,0.009842385,0.088982728,0.002801728,0.088982728,0.002979541,0.075834243,0.075834243,Lobate,DC,NW,81572.086,26.49557603,NW,2873.947818,4.411522949,839.6297601,"c(-109.262203409609, 38.5014970604408)",-109.2622034,38.50149706
RGU384055N1092634W,25469.668,0.005842156,0.002279606,5.578345355,1.340586943,0.005842156,0.032589564,0.00305601,0.032589564,31.21701947,3292.01057,2.741003023,875.1247393,0.00937645,0.002630753,2.880225842,1.307458144,0.00937645,0.027006294,0.003439599,0.027006294,0.003526753,0.052305078,0.052305078,Tongue,TC,NW,9582.303,31.99827224,NW,3303.901442,2.668025073,876.2916068,"c(-109.263412834737, 38.4055106251206)",-109.2634128,38.40551063
RGU384282N1092671W,59579.769,0.001736346,0.001757783,15.66213468,1.364712878,0.001757783,0.027194892,0.00239887,0.027194892,33.74247928,2945.14939,4.072322402,882.1760139,0.005216359,0.002647729,10.93514876,1.510055715,0.005216359,0.057041667,0.003998218,0.057041667,0.00361339,0.081699325,0.081699325,Lobate,DC,SW,8115.244,28.22025923,SW,2910.006392,4.110000134,881.0570679,"c(-109.267169570672, 38.4282703849353)",-109.2671696,38.42827038
RGU384332N1092136W,225553.619,0.003174482,0.006392264,2.990361361,11.03868236,0.006392264,0.009492849,0.070562172,0.070562172,21.22964949,3126.709312,2.978652974,913.8663046,0.005206371,0.010178989,2.160740234,9.186587891,0.010178989,0.011249615,0.093510175,0.093510175,0.112362623,0.015568931,0.112362623,Tongue,DC,SE,94700.187,20.29303516,S,3186.137,2.599485431,938.9513653,"c(-109.213628734254, 38.43325507932)",-109.2136287,38.43325508
